key,en,vi
exercises.name_low_to_high_fly,High-to-Low Cable Fly,Ép ngực dưới với cáp
exercises.desc_low_to_high_fly,"1. Stand between high pulleys. Open your arms with a slight bend in your elbows.
2. Exhale and pull the handles down and across your body toward your hips.
3. Squeeze your chest for 1 second at the bottom, then inhale and slowly open your arms.","1. Đứng giữa máy cáp cao. Mở rộng vòng tay, cùi chỏ cong nhẹ.
2. Thở ra, kéo hai tay ép chéo đi xuống dưới hướng về phía bụng/hông.
3. Ép ngực 1 giây ở điểm cuối, hít vào mở tay từ từ lên."
exercises.name_lying_leg_curl,Lying Leg Curl,Nằm móc đùi sau
exercises.desc_lying_leg_curl,"1. Lie face down on the machine, keeping your hips pressed firmly into the pad.
2. Exhale and curl the pad up toward your glutes as far as possible using your hamstrings.
3. Hold the peak contraction for 1 second. Inhale and lower the weight slowly without letting the plates touch.","1. Nằm sấp, ép chặt phần hông xuống nệm máy.
2. Thở ra, dùng cơ đùi sau cuộn đệm tạ về phía mông hết mức có thể.
3. Giữ đỉnh 1 giây. Hít vào nhả tạ chậm rãi, không để các phiến tạ chạm nhau."
exercises.name_lying_leg_raise,Lying Leg Raise,Nằm nâng chân
exercises.desc_lying_leg_raise,"1. Lie flat on your back, pressing your lower back firmly into the floor.
2. Exhale and raise both legs straight up until they are perpendicular to the ceiling.
3. Inhale and slowly lower them until they are a few inches above the floor, then repeat.","1. Nằm ngửa, thắt lưng ép chặt xuống sàn.
2. Thở ra, nâng cả hai chân lên vuông góc với sàn.
3. Hít vào, từ từ hạ chân xuống cách sàn 5-10cm (không chạm đất) và lặp lại."
exercises.name_machine_chest_press,Machine Chest Press,Đẩy ngực với máy
exercises.desc_machine_chest_press,"1. Sit in the machine and grip the handles firmly. Inhale deeply.
2. Exhale and press the handles forward until your arms are nearly fully extended.
3. Inhale and slowly let the handles return to the starting position, feeling the stretch in your chest.","1. Ngồi vào máy đẩy ngực, hai tay nắm chắc tay cầm.
2. Thở ra, dùng cơ ngực đẩy mạnh tay cầm về phía trước.
3. Hít vào, nhả tạ lùi về vị trí ngực giãn có kiểm soát."
exercises.name_mountain_climbers,Mountain Climbers,Leo núi
exercises.desc_mountain_climbers,"1. Start in a high plank push-up position.
2. Quickly drive your right knee toward your chest, return it, and immediately drive your left knee up.
3. Keep your core tight and hips stable as you alternate legs quickly.","1. Chống đẩy ở tư thế Plank cao.
2. Rút nhanh luân phiên từng đầu gối hướng về phía ngực.
3. Giữ cơ core ổn định, không để hông nảy lên xuống quá nhiều."
exercises.name_one_arm_row,Single Arm Dumbbell Row,Kéo tạ đơn một tay
exercises.desc_one_arm_row,"1. Support one knee and one hand on a bench. Hold a dumbbell with your free hand.
2. Exhale and pull the dumbbell up to your side, driving your elbow high and back.
3. Squeeze your back at the top. Inhale and lower the weight to fully stretch the shoulder blade.","1. Chống 1 gối và 1 tay lên ghế, tay kia cầm tạ buông thõng tự nhiên.
2. Thở ra, kéo cùi chỏ lên cao qua lưng, ép sát mạn sườn.
3. Hít vào, hạ tạ chậm để giãn hết biên độ bả vai."
exercises.name_overhead_cable_triceps,Overhead Cable Triceps Extension,Duỗi tay sau qua đầu bằng dây cáp
exercises.desc_overhead_cable_triceps,"1. Attach a rope to a low pulley of a cable machine. Stand facing away from the machine, grasp the rope with both hands, and pull it overhead so it rests behind your neck, with elbows pointing up.
2. Exhale and extend both arms straight overhead, keeping your elbows locked close to your head.
3. Inhale and slowly lower the rope back to the starting position behind your neck in a controlled manner.","1. Gắn dây thừng vào ròng rọc thấp của máy cáp. Đứng quay lưng lại với máy, cầm dây bằng cả hai tay và kéo qua đầu sao cho dây nằm sau gáy, cùi chỏ hướng lên.
2. Thở ra, duỗi thẳng hai tay lên trên cao, giữ cùi chỏ cố định sát đầu.
3. Hít vào, từ từ hạ dây thừng về vị trí ban đầu sau gáy có kiểm soát."
exercises.name_overhead_press,Overhead Press,Đẩy vai tạ đòn qua đầu
exercises.desc_overhead_press,"1. Take a deep breath, brace your core, and squeeze your glutes.
2. Exhale and press the bar straight up. As the bar clears your face, slightly push your head forward to lock out the bar directly over your mid-foot.
3. Inhale and lower the bar back to the front rack position under control.","1. Hít sâu, gồng chặt cơ bụng và mông.
2. Thở ra, đẩy mạnh thanh đòn thẳng lên trần nhà. Khi thanh đòn vừa qua mặt, hơi đẩy đầu về phía trước để thanh đòn nằm ngay trên đỉnh đầu.
3. Hít vào và từ từ hạ thanh đòn về lại vai trước."
exercises.name_overhead_triceps_extension,Overhead Triceps Extension,Duỗi tay sau qua đầu
exercises.desc_overhead_triceps_extension,"1. Hold one dumbbell straight overhead with both hands. Keep your upper arms pinned near your ears.
2. Inhale and bend your elbows to lower the weight behind your head until your triceps stretch.
3. Exhale and extend your elbows to push the weight back to the top.","1. Cầm 1 tạ đơn đưa qua đầu. Cố định phần bắp tay ép sát mang tai.
2. Hít vào, gập khuỷu tay hạ tạ xuống gáy cho đến khi cơ tay sau căng.
3. Thở ra, duỗi khuỷu tay đẩy quả tạ lên thẳng vị trí ban đầu."
exercises.name_pec_deck_fly,Pec Deck Fly,Ép ngực với máy
exercises.desc_pec_deck_fly,"1. Sit in the Pec Deck machine with arms spread wide. Inhale to stretch the chest.
2. Exhale and squeeze your arms together in front of your chest.
3. Hold the contraction for 1 second, then inhale and slowly let the arms open back up.","1. Ngồi máy Pec Deck, tay ngang ngực. Hít vào mở rộng tay về phía sau để giãn ngực.
2. Thở ra, kéo hai tay cầm ép sát vào nhau ở ngay trước ngực.
3. Siết chặt ngực 1 giây, hít vào nhả tay chậm rãi."
exercises.name_pike_push_up,Pike Push-Up,Hít đất chúi đầu
exercises.desc_pike_push_up,"1. Get into an inverted V position with your hips high in the air.
2. Inhale and lower the crown of your head toward the floor, forming a triangle with your hands.
3. Exhale and push through your shoulders and triceps back to the start.","1. Vào tư thế chữ V ngược (hông nhô cao lên trần).
2. Hít vào, hạ đỉnh đầu xuống gần chạm sàn, tạo hình tam giác với 2 bàn tay.
3. Thở ra, đẩy mạnh người về tư thế ban đầu."
exercises.name_plank,Plank,Plank
exercises.desc_plank,"1. Support your body on your forearms and toes, forming a straight line from head to heels.
2. Actively brace your core, glutes, and quads.
3. Hold this static position while breathing steadily.","1. Chống hai cùi chỏ xuống sàn. Cơ thể thẳng tắp từ gót chân tới đầu.
2. Chủ động siết cơ bụng, gồng cơ mông và đùi trước.
3. Giữ tư thế tĩnh và duy trì nhịp thở đều đặn."
exercises.name_preacher_curl,Preacher Curl,Cuốn tay trước trên ghế tựa
exercises.desc_preacher_curl,"1. Sit at a Preacher bench, locking your upper arms firmly into the pad. Hold a barbell with an underhand grip.
2. Exhale and curl the weight toward your chin, squeezing your biceps.
3. Inhale and lower the weight slowly until your arms are almost fully extended.","1. Ngồi ghế Preacher, khóa chặt bắp tay trên mặt đệm. Cầm tạ đòn ngửa tay.
2. Thở ra, cuốn tạ về phía vai, siết chặt bắp tay.
3. Hít vào, hạ tạ chậm đến khi tay gần duỗi thẳng."
exercises.name_pull_up,Pull-Up,Hít xà đơn
exercises.desc_pull_up,"1. Grip the bar with an overhand (pronated) grip. Brace your core to prevent swinging.
2. Exhale and pull yourself up by driving your elbows down to the floor.
3. Pull until your chin clears the bar. Inhale and slowly lower yourself to a full dead hang.","1. Nắm thanh xà lòng bàn tay hướng tới trước. Gồng cơ core chống đung đưa.
2. Thở ra, kéo cùi chỏ hướng xuống để nâng người qua xà.
3. Hít vào, từ từ hạ người xuống đến khi duỗi thẳng tay."
exercises.name_push_up,Push-Up,Hít đất
exercises.desc_push_up,"1. Start in a high plank position. Keep your body in a perfectly straight line.
2. Inhale and bend your elbows to lower your body until your chest is about an inch from the floor.
3. Exhale and press through your chest and triceps to return to the starting position.","1. Nằm sấp chống thẳng tay. Lưng, hông, chân tạo đường thẳng.
2. Hít vào, gập cùi chỏ hạ ngực cách sàn khoảng 1-2cm.
3. Thở ra, đẩy ngực và tay sau vươn người lên vị trí ban đầu."
exercises.name_reverse_pec_deck,Reverse Pec Deck,Ép vai sau với máy
exercises.desc_reverse_pec_deck,"1. Sit facing the machine. Grab the handles with a slight bend in your elbows.
2. Exhale and pull your arms wide out to your sides and back.
3. Squeeze your rear delts and shoulder blades together for 1 second. Inhale and slowly return.","1. Ngồi quay mặt vào máy Pec Deck. Cầm tay nắm, cùi chỏ hơi cong nhẹ.
2. Thở ra, siết vai sau kéo hai tay giang rộng ra phía sau lưng.
3. Ép chặt hai bả vai ở đỉnh, hít vào từ từ khép tay lại."
exercises.name_romanian_deadlift,Barbell Romanian Deadlift,Deadlift chân thẳng tạ đòn
exercises.desc_romanian_deadlift,"1. Stand holding a barbell against your thighs with a slight knee bend. Keep your chest up.
2. Inhale, push your hips straight back (hip hinge), and glide the bar down your legs until your hamstrings fully stretch.
3. Exhale, squeeze your glutes, and push your hips forward to stand tall.","1. Cầm thanh tạ sát đùi, đầu gối chùng nhẹ. Ưỡn ngực.
2. Hít vào, đẩy hông thẳng ra sau (hip hinge), trượt tạ dọc chân tới khi đùi sau căng hết cỡ.
3. Thở ra, siết mông đẩy hông về trước để đứng thẳng."
exercises.name_russian_twist,Russian Twist,Ngồi xoay eo kiểu Nga
exercises.desc_russian_twist,"1. Sit on the floor, lean back into a V-shape, and lift your feet off the ground.
2. Exhale and forcefully twist your torso to the right side.
3. Inhale as you return to the center, then exhale and twist to the left.","1. Ngồi ngả người ra sau hình chữ V, nhấc gót chân khỏi sàn.
2. Thở ra, xoay mạnh thân trên (có hoặc không tạ) sang phải.
3. Hít vào qua tâm, thở ra tiếp tục xoay sang trái luân phiên."
exercises.name_seated_cable_row_vgrip,Seated Cable Row (V-Grip),Ngồi Kéo Cáp Hẹp Tay
exercises.desc_seated_cable_row_vgrip,"1. Sit at the machine with your feet on the platforms, knees slightly bent, and grasp the V-bar.
2. Keep your back straight, chest up, and pull the handle toward your belly button while keeping your elbows tucked close to your body.
3. Squeeze your mid-back at the peak contraction, then slowly return to the starting position to stretch your lats.","1. Ngồi vào máy, đặt hai chân lên bục, gối hơi cong và hai tay nắm lấy tay cầm chữ V.
2. Giữ lưng thẳng, ưỡn ngực, thở ra và kéo tay cầm về phía rốn, đảm bảo ép sát hai cùi chỏ vào mạn sườn.
3. Siết chặt cơ lưng giữa ở nhịp kéo, hít vào và từ từ duỗi tay về vị trí ban đầu để cảm nhận lực giãn ở cơ xô."
exercises.name_seated_cable_row_widegrip,Seated Cable Row (Wide Grip),Ngồi Kéo Cáp Rộng Tay
exercises.desc_seated_cable_row_widegrip,"1. Sit at the machine and grasp the wide bar with an overhand grip, hands wider than shoulder-width.
2. Keep your chest up and pull the bar toward your lower chest/upper stomach, flaring your elbows slightly outward.
3. Squeeze your shoulder blades together to target the upper back and rear delts, then slowly extend your arms back.","1. Ngồi vào máy, hai tay nắm lấy thanh đòn rộng (lòng bàn tay úp xuống), khoảng cách hai tay rộng hơn vai.
2. Giữ lưng thẳng, thở ra và kéo thanh đòn về phía ngực dưới, hai cùi chỏ hơi dang rộng ra hai bên.
3. Siết chặt bả vai để tập trung vào cơ lưng trên và vai sau, hít vào và từ từ duỗi tay về vị trí ban đầu."
exercises.name_seated_calf_raise,Seated Calf Raise,Ngồi nhón gót
exercises.desc_seated_calf_raise,"1. Sit at the machine with the pads resting on your lower thighs.
2. Inhale and lower your heels as far as possible to stretch your calves.
3. Exhale and drive through the balls of your feet to raise your heels as high as possible. Hold for 1 second.","1. Ngồi máy nhón gót, đặt đệm tì lên đùi dưới.
2. Hít vào, hạ gót chân xuống thấp nhất để kéo giãn cơ bắp chân.
3. Thở ra, dùng mũi chân nhón gót lên cao nhất có thể. Giữ đỉnh 1 giây."
exercises.name_seated_incline_curl,Incline Dumbbell Curl,Cuốn tay trước ghế dốc
exercises.desc_seated_incline_curl,"1. Sit on a 45-60 degree incline bench, letting your arms hang straight down behind your torso.
2. Keep your upper arms completely still. Exhale, curl the dumbbells up to your shoulders, and turn your palms up.
3. Inhale and slowly lower the weights down to a full stretch.","1. Ngồi ghế dốc 45-60 độ, hai tay cầm tạ đơn buông thõng duỗi thẳng ra sau thân người.
2. Cố định bắp tay, thở ra cuốn tạ lên phía vai, xoay ngửa lòng bàn tay.
3. Hít vào từ từ hạ tạ xuống hoàn toàn để giãn bắp tay."
exercises.name_seated_leg_curl,Seated Leg Curl,Ngồi móc đùi sau
exercises.desc_seated_leg_curl,"1. Sit in the machine with the ankle pad locked just above your heels.
2. Exhale and curl your legs down under the seat as far as possible.
3. Inhale and slowly return the pad upwards without letting the weight stack touch.","1. Ngồi máy móc đùi sau, đệm tì khóa ngay trên gót chân (cổ chân).
2. Thở ra, cuộn hai chân gập xuống gầm ghế hết mức.
3. Hít vào, nhả tạ chậm lên trên không để chạm các phiến tạ khác."
exercises.name_seated_wrist_curl,Seated Wrist Curl,Ngồi gập cổ tay
exercises.desc_seated_wrist_curl,"1. Sit with your forearms resting on your thighs, holding a dumbbell or barbell palms up.
2. Let the weight roll down to your fingertips to stretch the forearms. Exhale and forcefully curl your wrists upward.
3. Inhale and slowly lower the weight back down.","1. Ngồi tựa cẳng tay lên đùi, lòng bàn tay ngửa cầm tạ.
2. Nhả tạ trượt dần xuống các đốt ngón tay để giãn cẳng tay. Thở ra, gập mạnh cổ tay cuộn tạ lên.
3. Hít vào nhả tạ chậm rãi."
exercises.name_shoulder_press_machine,Machine Shoulder Press,Đẩy vai với máy
exercises.desc_shoulder_press_machine,"1. Sit in the machine and grab the handles at shoulder level.
2. Exhale and press the handles straight up overhead without locking out your elbows.
3. Inhale and control the handles as they lower back to the starting position.","1. Ngồi máy đẩy vai, nắm chắc tay cầm ngang tầm vai.
2. Thở ra, đẩy vút tạ thẳng lên trên đầu (nhưng không khóa chặt khớp cùi chỏ).
3. Hít vào, kiểm soát hạ tạ xuống nhẹ nhàng về vị trí ban đầu."
exercises.name_single_arm_lat_pulldown,Single Arm Lat Pulldown,Kéo xô cáp một tay
exercises.desc_single_arm_lat_pulldown,"1. Sit at a high pulley holding a D-handle with one hand. Puff your chest up.
2. Exhale and pull your elbow straight down into your side.
3. Squeeze your lat at the bottom for 1 second, then inhale and slowly release the cable.","1. Ngồi máy cáp cao, một tay cầm tay nắm chữ D. Ưỡn ngực.
2. Thở ra, kéo cùi chỏ nhắm thẳng xuống mạn sườn.
3. Siết cơ xô ở điểm cuối 1 giây, hít vào nhả cáp từ từ."
exercises.name_skull_crushers,Skullcrusher,Nằm duỗi tay sau tạ đòn
exercises.desc_skull_crushers,"1. Lie flat on a bench pressing a barbell up. Angle your upper arms slightly backward toward your head (15 degrees).
2. Inhale and bend your elbows to lower the bar toward your forehead.
3. Exhale and extend your elbows forcefully to return the bar to the top.","1. Nằm ghế bằng, cầm tạ đòn đẩy lên. Nghiêng bắp tay về phía đầu khoảng 15 độ.
2. Hít vào, gập cùi chỏ hạ tạ hướng về đỉnh đầu/trán.
3. Thở ra, duỗi mạnh khuỷu tay đẩy tạ lên lại."
exercises.name_smith_machine_squat,Smith Machine Squat,Squat máy Smith
exercises.desc_smith_machine_squat,"1. Place the Smith machine bar across your shoulders. Position your feet slightly further forward than a free-weight squat.
2. Inhale, push your hips back, and squat down to parallel.
3. Exhale and drive through your heels to stand back up.","1. Đặt tạ máy Smith lên vai, đứng bước hai chân hơi tiến về phía trước một chút so với thanh đòn.
2. Hít vào, đẩy hông hạ người xuống tư thế squat song song.
3. Thở ra dồn lực gót chân đẩy người thẳng lên."
exercises.name_squat,Bodyweight Squat,Squat cơ bản
exercises.desc_squat,"1. Take a deep breath and brace your core. Hinge your hips back and bend your knees as if sitting in an invisible chair.
2. Lower until your hip crease is below the top of your knees (if mobility allows). Keep your weight evenly distributed across your whole foot.
3. Exhale, drive through the floor, squeeze your glutes and quads to stand back up.","1. Hít sâu, gồng cơ bụng. Đẩy hông ra sau và gập đầu gối như đang ngồi xuống một chiếc ghế vô hình.
2. Hạ người xuống cho đến khi nếp gấp hông nằm thấp hơn đỉnh đầu gối (nếu độ dẻo dai cho phép). Trọng lượng dồn đều lên toàn bộ bàn chân.
3. Thở ra, đạp mạnh bàn chân xuống sàn, siết cơ mông và đùi đẩy người đứng thẳng dậy."
exercises.name_stair_climber,Stair Climber,Leo cầu thang bằng máy
exercises.desc_stair_climber,"1. Step rhythmically onto the moving stairs.
2. Place your entire foot on the step and push through your heels to maximally engage your glutes.","1. Bước nhịp nhàng lên các bậc thang của máy.
2. Đặt toàn bộ bàn chân lên bậc, tập trung dồn lực đạp từ gót chân để ép cơ mông làm việc."
exercises.name_standing_calf_raise,Standing Calf Raise,Đứng nhón gót
exercises.desc_standing_calf_raise,"1. Stand with the balls of your feet on a raised platform. Inhale and let your heels drop to get a deep stretch.
2. Exhale and raise your heels as high as possible. Keep your knees straight but not locked.
3. Hold the contraction for 1-2 seconds, then lower slowly.","1. Đứng nửa bàn chân trên bục. Hít vào hạ gót chân xuống sâu nhất mặt bục.
2. Thở ra, nhón gót lên cao hết cỡ. Đầu gối thẳng nhưng không khóa khớp.
3. Giữ căng ở đỉnh 1-2 giây rồi từ từ hạ xuống."
exercises.name_superman,Superman,Nằm sấp nâng tay chân
exercises.desc_superman,"1. Lie face down on a mat with arms and legs fully extended.
2. Squeeze your lower back and simultaneously lift your arms, chest, and legs off the floor.
3. Hold the top position for 2-3 seconds, breathing shallowly, then lower back down.","1. Nằm sấp, duỗi thẳng tay và chân.
2. Siết lưng dưới, đồng thời nâng tay, ngực và chân rời khỏi thảm uốn cong người.
3. Giữ 2-3 giây ở đỉnh, hít thở nông rồi từ từ hạ xuống."
exercises.name_t_bar_row,T-Bar Row,Kéo tạ chữ T
exercises.desc_t_bar_row,"1. Bend over, straddling the T-bar. Keep your back naturally straight.
2. Exhale, pull the bar forcefully toward your chest/stomach, and squeeze your shoulder blades together.
3. Inhale and lower the bar under control to fully stretch your back.","1. Đứng khom người, hai tay cầm thanh T-Bar. Lưng thẳng tự nhiên.
2. Thở ra, kéo mạnh thanh tạ hướng về bụng, ép hai bả vai sát nhau.
3. Hít vào, hạ thanh tạ có kiểm soát để kéo giãn cơ lưng."
exercises.name_treadmill,Treadmill,Chạy bộ trên máy
exercises.desc_treadmill,"1. Start the belt at a slow speed before stepping on.
2. Adjust the Speed and Incline to match your workout goals.
3. Keep your posture upright, look forward, and pump your arms rhythmically.","1. Khởi động băng chạy ở tốc độ chậm rồi mới bước vào.
2. Điều chỉnh Tốc độ (Speed) và Độ dốc (Incline) theo mục tiêu giáo án.
3. Giữ người thẳng, mắt nhìn trước, đánh tay nhịp nhàng."
exercises.name_tricep_pushdown,Triceps Pushdown,Kéo cáp tay sau
exercises.desc_tricep_pushdown,"1. Stand at a high cable pulley. Pin your elbows tightly against your ribs.
2. Exhale and push the bar/rope straight down until your arms are fully locked out.
3. Inhale and slowly let the cable pull your forearms back up without moving your elbows.","1. Đứng ở máy cáp cao. Cố định cùi chỏ ép chặt mạn sườn.
2. Thở ra, đẩy cáp thẳng xuống đất đến khi cánh tay duỗi thẳng.
3. Hít vào, nhả cáp từ từ đi lên, không vung vẩy cùi chỏ."
exercises.name_upright_row,Upright Row,Kéo tạ đòn thẳng đứng
exercises.desc_upright_row,"1. Hold a barbell with a narrow grip resting against your thighs.
2. Exhale and pull the bar straight up to your chin, leading with your elbows. Your elbows must always be higher than your wrists.
3. Hold for 1 second at the top, then inhale and lower straight down.","1. Cầm thanh tạ đòn ép sát đùi.
2. Thở ra, dùng cùi chỏ kéo tạ thẳng đứng lên vùng cằm. Cùi chỏ luôn phải cao hơn cổ tay.
3. Giữ đỉnh 1 giây, hít vào hạ tạ xuống thẳng đứng."
exercises.desc_warm_up,"Thoroughly rotate your wrists, ankles, shoulders, hips, and knees for 5-10 minutes to lubricate the joints and raise your heart rate.","Xoay kỹ các khớp: cổ tay, cổ chân, vai, hông và gối trong 5-10 phút để làm trơn khớp và tăng nhịp tim."
exercises.type_cardio_dist,Distance & Time,Khoảng cách & Thời gian
exercises.type_cardio_steps,Steps & Time,Bước chân & Thời gian
exercises.type_reps_only,Reps Only,Chỉ đếm số lần
exercises.type_time_only,Time Only,Chỉ tính thời gian
exercises.type_wt_reps,Weight & Reps,Tạ & Số lần
explore.btn_add_program_done,Already own this program,Đã sở hữu giáo án này
explore.btn_add_program_new,Save this program,Lưu giáo án này về
explore.badge_added,Saved,Đã lưu
explore.lbl_all_other_exercises,Other exercises,Tất cả bài tập khác
explore.desc_clear_filter,Clear current filter,Xóa bộ lọc hiện tại
explore.btn_continue_exploring,Continue Exploring,Khám phá tiếp
explore.title_create_cust_ex,Create Exercise,Tạo bài tập mới
explore.lbl_cust_ex,Custom,Tự tạo
explore.lbl_cust_ex_add_image,Add an image,Thêm ảnh minh họa
explore.hint_cust_ex_inst,"Add form cues, notes, or things to remember...","Ghi chú cách tập, tư thế hoặc những điều cần lưu ý..."
explore.msg_cust_ex_missing_fields,"Please fill in all required fields (Name, Type, Primary Muscle) to create a custom exercise.","Vui lòng điền đầy đủ tên, loại và nhóm cơ chính để tạo bài tập cá nhân."
explore.lbl_cust_ex_name,Exercise Name,Tên bài tập
explore.hint_cust_ex_name,e.g. Incline Dumbbell Press...,Ví dụ: Đẩy tạ đôi trên ghế dốc...
explore.msg_cust_ex_name_empty,Please enter an exercise name,Vui lòng nhập tên bài tập
explore.err_cust_ex_name_too_long,Exercise name cannot exceed 100 characters.,Tên bài tập không được vượt quá 100 ký tự.
explore.lbl_cust_ex_type,Exercise Type,Loại bài tập
explore.msg_delete_cust_ex_warn,Are you sure you want to delete this custom exercise? This action cannot be undone and will not affect your past workout history.,Bạn có chắc chắn muốn xoá bài tập tự tạo này không? Hành động này không thể hoàn tác và sẽ không ảnh hưởng đến lịch sử tập luyện cũ của bạn.
explore.lbl_dist_short,Dist.,K/Cách
explore.title_download_success,Program Downloaded,Đã tải giáo án về máy
explore.msg_download_success,Program {arg1} has been added to your list.,Giáo án {arg1} đã được thêm vào danh sách của bạn.
explore.title_edit_cust_ex,Edit Exercise,Sửa bài tập
explore.desc_ex_dtl_demo,Detailed video tutorial,Video hướng dẫn chi tiết
explore.fmt_ex_dtl_dist_km,{arg1}km,{arg1}km
explore.msg_ex_dtl_image_err,Image connection error,Lỗi kết nối hình ảnh
explore.title_ex_dtl_inst,Movement Instructions,Hướng dẫn động tác
explore.msg_ex_dtl_no_data_range,No data recorded in this timeframe.,Chưa ghi nhận dữ liệu trong khoảng thời gian này.
explore.msg_ex_dtl_no_history,You have never performed this exercise.,Bạn chưa thực hiện bài tập này bao giờ.
explore.msg_ex_dtl_no_image,The system does not have an illustration for this exercise yet.,Hệ thống chưa có hình ảnh minh họa cho bài này
explore.msg_ex_dtl_no_inst,Updating detailed instructions.,Đang cập nhật hướng dẫn chi tiết.
explore.tab_ex_dtl_overview,Overview,Tổng quan
explore.title_ex_dtl_personal_records,Highest Personal Records,Kỷ lục cá nhân cao nhất
explore.title_ex_dtl_progress,Training Progress,Tiến độ tập luyện
explore.tab_ex_dtl_progress,Progress,Tiến độ
explore.fmt_ex_dtl_reps_only,{arg1} reps,{arg1} lần lặp
explore.fmt_ex_dtl_sec_musc,Secondary Muscles: {arg1},Nhóm cơ phụ trợ: {arg1}
explore.fmt_ex_dtl_set_number,Set {arg1},Hiệp {arg1}
explore.fmt_ex_dtl_ssn_count,{arg1} sessions,{arg1} buổi
explore.lbl_ex_dtl_total_sessions,Total Sessions Completed,Tổng số buổi đã tập
explore.fmt_ex_dtl_wt_reps,{arg1}kg x {arg2},{arg1}kg x {arg2}
explore.lbl_ex_list,Exercises List,Danh sách bài tập
explore.lbl_filter_env,Environment,Môi trường
explore.lbl_filter_equipment,Equipment,Dụng cụ
explore.lbl_filter_goal,Primary Goal,Mục tiêu chính
explore.lbl_filter_level,Difficulty,Độ khó
explore.lbl_filter_level_advanced,Advanced,Nâng cao
explore.lbl_filter_level_intermediate,Intermediate,Trung cấp
explore.lbl_filter_level_newbie,Beginner,Cơ bản
explore.lbl_filter_muscle,Muscle Group,Nhóm cơ
explore.btn_library_add_selected_count,Confirm {arg1} selected,Xác nhận chọn {arg1} bài
explore.desc_library_card_info,View movement details,Xem chi tiết động tác
explore.title_library_create_cust,Create Custom Exercise,Tạo bài tập cá nhân
explore.lbl_library_cust_inst,Notes or Instructions (Optional),Ghi chú hoặc hướng dẫn (Tùy chọn)
explore.lbl_library_cust_muscle,Primary Muscle Targeted,Nhóm cơ tác động chính
explore.lbl_library_cust_name,New Exercise Name,Tên bài tập mới
explore.lbl_library_cust_type,Training Method,Phương pháp tập
explore.title_library_dialog_multi,Select multiple exercises,Chọn nhiều bài tập
explore.title_library_dialog_single,Select an exercise,Chọn một bài tập
explore.lbl_library_filter_all,All Exercises,Tất cả bài tập
explore.msg_library_loading,Loading database...,Đang nạp kho dữ liệu...
explore.title_library_main,Exercise Library,Thư viện bài tập
explore.msg_library_not_found,No matching results found,Không tìm thấy kết quả nào trùng khớp
explore.hint_library_search,Search for exercises...,Tìm kiếm bài tập...
explore.msg_loading,Loading library from server...,Đang tải thư viện từ máy chủ...
explore.title_main,Explore Programs,Khám phá Giáo án
explore.err_max_unique_exercises,You can only select up to 50 unique exercises!,Chỉ được chọn tối đa 50 bài tập khác nhau!
explore.title_program_details_count,Program Details ({arg1} routines),Chi tiết giáo án ({arg1} lịch tập)
explore.lbl_recent,Recent,Gần đây
explore.fmt_reps_only,{arg1} reps,{arg1} lần
explore.fmt_routines_count,{arg1} routines,{arg1} lịch tập
explore.lbl_sec_muscle,Secondary Muscle,Nhóm cơ phụ
explore.fmt_sets_reps_time,{arg1} sets x {arg2},{arg1} hiệp x {arg2}
explore.lbl_suggested_for_you,Suggested,Đề xuất
explore.fmt_toast_added,Added program {arg1},Đã thêm giáo án {arg1}
explore.tooltip_hide_added,Hide Added Programs,Ẩn giáo án đã thêm
explore.tooltip_show_all,Show All,Hiển thị tất cả
explore.desc_view_ex_dtl,View instructions,Xem hướng dẫn
explore.btn_view_program,View Program,Xem giáo án
gamification.msg_chest_claimed,Successfully claimed reward!,Đã nhận thưởng thành công!
gamification.fmt_chest_progress,{arg1} / {arg2},{arg1} / {arg2}
gamification.fmt_chest_requirement,Complete {arg1}/{arg2} quests to open,Hoàn thành {arg1}/{arg2} nhiệm vụ để mở
gamification.btn_claim_now,Claim Now,Nhận thưởng ngay
gamification.btn_claim_reward,CLAIM,NHẬN
gamification.dialog_chest_desc_success,You have excellently completed the weekly quests and unlocked the treasure chest.,Bạn đã xuất sắc hoàn thành nhiệm vụ tuần và mở khóa được rương báu.
gamification.dialog_chest_title_success,Congratulations!,Chúc mừng!
gamification.tab_leaderboard,Leaderboard,Xếp hạng
gamification.leaderboard_you,You,Bạn
gamification.msg_level_up_base,Level Up!,Thăng Cấp!
gamification.title_main,Achievements,Thành tích
gamification.msg_no_quests,No quests this week. Train hard to get quests next week!,Không có nhiệm vụ nào trong tuần này. Hãy tập luyện chăm chỉ để nhận nhiệm vụ vào tuần tới nhé!
gamification.btn_open_chest,OPEN CHEST,MỞ RƯƠNG
gamification.title_quest_1,Hardworking Warrior,Chiến binh chăm chỉ
gamification.desc_quest_1,Complete 3 workouts,Hoàn thành 3 buổi tập
gamification.title_quest_2,Explosive Power,Sức mạnh bùng nổ
gamification.desc_quest_2,"Reach 10,000kg total volume",Đạt 10.000kg tổng khối lượng tạ
gamification.title_quest_3,Limit Breaker,Phá vỡ giới hạn
gamification.desc_quest_3,Achieve 1 new Personal Record (PR),Đạt 1 Kỷ lục cá nhân (PR) mới
gamification.title_quest_4,Relentless Endurance,Bền bỉ không ngừng
gamification.desc_quest_4,Train for a total of 120 minutes,Tập luyện tổng cộng 120 phút
gamification.title_quest_5,Iron Discipline,Kỷ luật thép
